row, tx_hash, token_address, from_address, to_address, from_is_contract, to_is_contract, token_id, blk_number, blk_timestamp, eth_value, weth_value
17, 0x36dc31bf1072be3d54dbfdeb9148786e224b61d9c4fc927f001764bf7991d380, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x816064b119cc30a227f06f0ee10b84b0d2ca893c, false, false, 2694, 12287746, 1619064065.0, 0.0, 0
18, 0x36dc31bf1072be3d54dbfdeb9148786e224b61d9c4fc927f001764bf7991d380, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x816064b119cc30a227f06f0ee10b84b0d2ca893c, false, false, 2718, 12287746, 1619064065.0, 0.0, 0
19, 0x36dc31bf1072be3d54dbfdeb9148786e224b61d9c4fc927f001764bf7991d380, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x816064b119cc30a227f06f0ee10b84b0d2ca893c, false, false, 2788, 12287746, 1619064065.0, 0.0, 0
20, 0x3b8c226ae300fcaee0747bae869195a3ae726ef42bc61822582b71db6737f2d7, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x816064b119cc30a227f06f0ee10b84b0d2ca893c, false, false, 1448, 12287763, 1619064264.0, 0.0, 0
21, 0x3b8c226ae300fcaee0747bae869195a3ae726ef42bc61822582b71db6737f2d7, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x816064b119cc30a227f06f0ee10b84b0d2ca893c, false, false, 1444, 12287763, 1619064264.0, 0.0, 0
22, 0x3b8c226ae300fcaee0747bae869195a3ae726ef42bc61822582b71db6737f2d7, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x816064b119cc30a227f06f0ee10b84b0d2ca893c, false, false, 1118, 12287763, 1619064264.0, 0.0, 0
23, 0x424580092aed99791959f7ac88836b3cc50f6d1b5058b166edb601fa585516f0, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0xa78f030dbfd0b084fa96def6be781ce964cca87c, false, false, 2723, 12287768, 1619064342.0, 0.0, 0
24, 0x424580092aed99791959f7ac88836b3cc50f6d1b5058b166edb601fa585516f0, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0xa78f030dbfd0b084fa96def6be781ce964cca87c, false, false, 2726, 12287768, 1619064342.0, 0.0, 0
25, 0x424580092aed99791959f7ac88836b3cc50f6d1b5058b166edb601fa585516f0, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0xa78f030dbfd0b084fa96def6be781ce964cca87c, false, false, 2740, 12287768, 1619064342.0, 0.0, 0
26, 0x424580092aed99791959f7ac88836b3cc50f6d1b5058b166edb601fa585516f0, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0xa78f030dbfd0b084fa96def6be781ce964cca87c, false, false, 2729, 12287768, 1619064342.0, 0.0, 0
27, 0xdeac15e2c59b3cc0783441664ed398d251fcdb2a2d198e126bb8f1219577b13b, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x98a72446e031388e2c817ab36c6bc98fe0cdedd5, false, false, 25016, 12287832, 1619065279.0, 0.0, 0
28, 0xdeac15e2c59b3cc0783441664ed398d251fcdb2a2d198e126bb8f1219577b13b, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x98a72446e031388e2c817ab36c6bc98fe0cdedd5, false, false, 10261, 12287832, 1619065279.0, 0.0, 0
29, 0xdeac15e2c59b3cc0783441664ed398d251fcdb2a2d198e126bb8f1219577b13b, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x98a72446e031388e2c817ab36c6bc98fe0cdedd5, false, false, 11090, 12287832, 1619065279.0, 0.0, 0
30, 0xdeac15e2c59b3cc0783441664ed398d251fcdb2a2d198e126bb8f1219577b13b, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x98a72446e031388e2c817ab36c6bc98fe0cdedd5, false, false, 7172, 12287832, 1619065279.0, 0.0, 0
31, 0xdeac15e2c59b3cc0783441664ed398d251fcdb2a2d198e126bb8f1219577b13b, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x98a72446e031388e2c817ab36c6bc98fe0cdedd5, false, false, 3628, 12287832, 1619065279.0, 0.0, 0
32, 0xdeac15e2c59b3cc0783441664ed398d251fcdb2a2d198e126bb8f1219577b13b, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x98a72446e031388e2c817ab36c6bc98fe0cdedd5, false, false, 6712, 12287832, 1619065279.0, 0.0, 0
